Indicator Code,Topic,Development relevance
EN.URB.LCTY.UR.ZS,Environment: Density & urbanization,"A metropolitan area includes the urban area, and its satellite cities plus intervening rural land that is socio-economically connected to the urban core city, typically by employment ties through commuting, with the urban core city being the primary labor market. According to the United Nations' definition, a metropolitan area includes both the contiguous territory inhabited at urban levels of residential density and additional surrounding areas of lower settlement density that are also under the direct influence of the city (e.g., through frequent transport, road linkages, commuting facilities etc.).

Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service. For the first time ever, the majority of the world's population lives in a city, and this proportion continues to grow. One hundred years ago, 2 out of every 10 people lived in an urban area. By 1990, less than 40 percent of the global population lived in a city, but as of early 2010s, more than half of all people live in an urban area. By 2030, 6 out of every 10 people will live in a city, and by 2050, this proportion will increase to 7 out of 10 people. About half of all urban dwellers live in cities with between 100,000-500,000 people, and fewer than 10% of urban dwellers live in megacities (a city with a population of more than 10 million, as defined by UN HABITAT). Currently, the number of urban residents is growing by nearly 60 million every year.

By the middle of the 21st century, the urban population will almost double, reaching 6.4 billion in 2050. Almost all urban population growth in the next 30 years will occur in cities of developing countries. By the middle of the 21st century, it is estimated that the urban population of developing counties will more than double, reaching almost 5.2 billion in 2050. In high-income countries, the urban population is expected to remain largely unchanged over the next two decades, reaching to just over 1 billion by 2025. In these countries, immigration (legal and illegal) will account for more than two-thirds of urban growth. Without immigration, the urban population in these countries would most likely decline or remain static.

In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment. Poverty is growing faster in urban than in rural areas. According to UN one billion people live in urban slums, which are typically overcrowded, polluted and dangerous, and lack basic services such as clean water and sanitation."
EN.URB.MCTY,Environment: Density & urbanization,"According to the United Nations, an Urban Agglomeration refers to the de facto population contained within the contours of a contiguous territory inhabited at urban density levels without regard to administrative boundaries. It usually incorporates the population in a city or town plus that in the sub-urban areas lying outside of but being adjacent to the city boundaries. In general, an urban agglomeration is an extended city or town area comprising the built-up area of a central place and any suburbs linked by continuous urban area. INSEE, the French Statistical Institute, uses the term unité urbaine, which means continuous urbanized area. There are differences in definitions of what does and does not constitute an ""agglomeration"", as well as differenced in statistical and geographical methodology. Some of the well-known urban agglomerations of the world are Tokyo, New York City, Mexico City, New Delhi, and Seoul.

A metropolitan area includes the urban area, and its satellite cities plus intervening rural land that is socio-economically connected to the urban core city, typically by employment ties through commuting, with the urban core city being the primary labor market. According to the United Nations' definition, a metropolitan area includes both the contiguous territory inhabited at urban levels of residential density and additional surrounding areas of lower settlement density that are also under the direct influence of the city (e.g., through frequent transport, road linkages, commuting facilities etc.).

Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service. For the first time ever, the majority of the world's population lives in a city, and this proportion continues to grow. One hundred years ago, 2 out of every 10 people lived in an urban area. By 1990, less than 40 percent of the global population lived in a city, but as of early 2010s, more than half of all people live in an urban area. By 2030, 6 out of every 10 people will live in a city, and by 2050, this proportion will increase to 7 out of 10 people. About half of all urban dwellers live in cities with between 100,000-500,000 people, and fewer than 10% of urban dwellers live in megacities (a city with a population of more than 10 million, as defined by UN HABITAT). Currently, the number of urban residents is growing by nearly 60 million every year.

By the middle of the 21st century, the urban population will almost double, reaching 6.4 billion in 2050. Almost all urban population growth in the next 30 years will occur in cities of developing countries. By the middle of the 21st century, it is estimated that the urban population of developing counties will more than double, reaching almost 5.2 billion in 2050. In high-income countries, the urban population is expected to remain largely unchanged over the next two decades, reaching to just over 1 billion by 2025. In these countries, immigration (legal and illegal) will account for more than two-thirds of urban growth. Without immigration, the urban population in these countries would most likely decline or remain static.

In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment. Poverty is growing faster in urban than in rural areas. According to UN one billion people live in urban slums, which are typically overcrowded, polluted and dangerous, and lack basic services such as clean water and sanitation."
EN.URB.MCTY.TL.ZS,Environment: Density & urbanization,"According to the United Nations, an Urban Agglomeration refers to the de facto population contained within the contours of a contiguous territory inhabited at urban density levels without regard to administrative boundaries. It usually incorporates the population in a city or town plus that in the sub-urban areas lying outside of but being adjacent to the city boundaries. In general, an urban agglomeration is an extended city or town area comprising the built-up area of a central place and any suburbs linked by continuous urban area. INSEE, the French Statistical Institute, uses the term unité urbaine, which means continuous urbanized area. There are differences in definitions of what does and does not constitute an ""agglomeration"", as well as differenced in statistical and geographical methodology. Some of the well-known urban agglomerations of the world are Tokyo, New York City, Mexico City, New Delhi, and Seoul.

A metropolitan area includes the urban area, and its satellite cities plus intervening rural land that is socio-economically connected to the urban core city, typically by employment ties through commuting, with the urban core city being the primary labor market. According to the United Nations' definition, a metropolitan area includes both the contiguous territory inhabited at urban levels of residential density and additional surrounding areas of lower settlement density that are also under the direct influence of the city (e.g., through frequent transport, road linkages, commuting facilities etc.).

Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service. For the first time ever, the majority of the world's population lives in a city, and this proportion continues to grow. One hundred years ago, 2 out of every 10 people lived in an urban area. By 1990, less than 40 percent of the global population lived in a city, but as of early 2010s, more than half of all people live in an urban area. By 2030, 6 out of every 10 people will live in a city, and by 2050, this proportion will increase to 7 out of 10 people. About half of all urban dwellers live in cities with between 100,000-500,000 people, and fewer than 10% of urban dwellers live in megacities (a city with a population of more than 10 million, as defined by UN HABITAT). Currently, the number of urban residents is growing by nearly 60 million every year.

By the middle of the 21st century, the urban population will almost double, reaching 6.4 billion in 2050. Almost all urban population growth in the next 30 years will occur in cities of developing countries. By the middle of the 21st century, it is estimated that the urban population of developing counties will more than double, reaching almost 5.2 billion in 2050. In high-income countries, the urban population is expected to remain largely unchanged over the next two decades, reaching to just over 1 billion by 2025. In these countries, immigration (legal and illegal) will account for more than two-thirds of urban growth. Without immigration, the urban population in these countries would most likely decline or remain static.

In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment. Poverty is growing faster in urban than in rural areas. According to UN one billion people live in urban slums, which are typically overcrowded, polluted and dangerous, and lack basic services such as clean water and sanitation."
ER.FSH.AQUA.MT,Environment: Agricultural production,"Aquaculture is understood to mean the farming of aquatic organisms including fish, molluscs, crustaceans and aquatic plants. Farming implies some form of intervention in the rearing process to enhance production, such as regular stocking, feeding, protection from predators, etc. Farming also implies individual or corporate ownership of the stock being cultivated. For statistical purposes, aquatic organisms which are harvested by an individual of corporate body which has owned them throughout their rearing period contribute to aquaculture while aquatic organisms which are exploitable by public as a common property resource, with or without appropriate licences, are the harvest of fisheries."
ER.FSH.CAPT.MT,Environment: Agricultural production,
ER.FSH.PROD.MT,Environment: Agricultural production,
ER.GDP.FWTL.M3.KD,Environment: Freshwater,"While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectoral planning and integration. According to World Water Council, by 2020, water use is expected to increase by 40 percent, and 17 percent more water will be required for food production to meet the needs of the growing population. The three major factors causing increasing water demand over the past century are population growth, industrial development and the expansion of irrigated agriculture.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain."
ER.H2O.FWAG.ZS,Environment: Freshwater,"While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectoral planning and integration. According to World Water Council, by 2020, water use is expected to increase by 40 percent, and 17 percent more water will be required for food production to meet the needs of the growing population. The three major factors causing increasing water demand over the past century are population growth, industrial development and the expansion of irrigated agriculture.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times)."
ER.H2O.FWDM.ZS,Environment: Freshwater,"UNESCO estimates that in developing countries in Asia, Africa and Latin America, public water withdrawal represents just 50-100 liters (13 to 26 gallons) per person per day. In regions with insufficient water resources, this figure may be as low as 20-60 (5 to 15 gallons) liters per day. People in developed countries on average consume about 10 times more water daily than those in developing countries.

While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectorial planning and integration. According to World Water Council, by 2020, water use is expected to increase by 40 percent, and 17 percent more water will be required for food production to meet the needs of the growing population. The three major factors causing increasing water demand over the past century are population growth, industrial development and the expansion of irrigated agriculture.

Water productivity is an indication only of the efficiency by which each country uses its water resources. Given the different economic structure of each country, these indicators should be used carefully, taking into account a country's sectorial activities and natural resource endowments. According to Commission on Sustainable Development (CSD) agriculture accounts for more than 70 percent of freshwater drawn from lakes, rivers and underground sources. Most is used for irrigation which provides about 40 percent of the world food production. Poor management has resulted in the salinization of about 20 percent of the world's irrigated land, with an additional 1.5 million ha affected annually.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times).

The Commission for Sustainable Development (CSD) has reported that many countries lack adequate legislation and policies for efficient and equitable allocation and use of water resources. Progress is, however, being made with the review of national legislation and enactment of new laws and regulations."
ER.H2O.FWIN.ZS,Environment: Freshwater,"While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectorial planning and integration. According to World Water Council, by 2020, water use is expected to increase by 40 percent, and 17 percent more water will be required for food production to meet the needs of the growing population. The three major factors causing increasing water demand over the past century are population growth, industrial development and the expansion of irrigated agriculture. UNESCO estimates that Industrial uses account for about 20 percent of global freshwater withdrawals. Of this, 57-69 percent is used for hydropower and nuclear power generation, 30-40 percent for industrial processes, and 0.5-3 percent for thermal power generation.

Water productivity is an indication only of the efficiency by which each country uses its water resources. Given the different economic structure of each country, these indicators should be used carefully, taking into account a country's sectorial activities and natural resource endowments. According to Commission on Sustainable Development (CSD) agriculture accounts for more than 70 percent of freshwater drawn from lakes, rivers and underground sources. Most is used for irrigation which provides about 40 percent of the world food production. Poor management has resulted in the salinization of about 20 percent of the world's irrigated land, with an additional 1.5 million ha affected annually.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times).

The Commission for Sustainable Development (CSD) has reported that many countries lack adequate legislation and policies for efficient and equitable allocation and use of water resources. Progress is, however, being made with the review of national legislation and enactment of new laws and regulations."
ER.H2O.FWST.ZS,Environment: Freshwater,"The level of water stress can show the degree to which water resources are being exploited to meet the country's water demand. It measures a country's pressure on its water resources and therefore the challenge on the sustainability of its water use. It tracks progress in regard to “withdrawals and supply of freshwater to address water scarcity”, i.e. the environmental component of target 6.4. It also shows to what extent water resources are already used, and signals the importance of effective supply and demand management policies. It indicates the likelihood of increasing competition and conflict between different water uses and users in a situation of increasing water scarcity. Increased water stress, shown by an increase in the value of the indicator, has potentially negative effects on the sustainability of the natural resources and on economic development. On the other hand, low values of water stress indicate that water does not represent a particular challenge for economic development and sustainability."
ER.H2O.FWTL.K3,Environment: Freshwater,"While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectorial planning and integration.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times)."
ER.H2O.FWTL.ZS,Environment: Freshwater,"While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectorial planning and integration. According to World Water Council, by 2020, water use is expected to increase by 40 percent, and 17 percent more water will be required for food production to meet the needs of the growing population. The three major factors causing increasing water demand over the past century are population growth, industrial development and the expansion of irrigated agriculture.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times)."
ER.H2O.INTR.K3,Environment: Freshwater,"UNESCO estimates that in developing countries in Asia, Africa and Latin America, public water withdrawal represents just 50-100 liters (13 to 26 gallons) per person per day. In regions with insufficient water resources, this figure may be as low as 20-60 (5 to 15 gallons) liters per day. People in developed countries on average consume about 10 times more water daily than those in developing countries.

While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectorial planning and integration. According to World Water Council, by 2020, water use is expected to increase by 40 percent, and 17 percent more water will be required for food production to meet the needs of the growing population. The three major factors causing increasing water demand over the past century are population growth, industrial development and the expansion of irrigated agriculture.

Water productivity is an indication only of the efficiency by which each country uses its water resources. Given the different economic structure of each country, these indicators should be used carefully, taking into account a country's sectorial activities and natural resource endowments. According to Commission on Sustainable Development (CSD) agriculture accounts for more than 70 percent of freshwater drawn from lakes, rivers and underground sources. Most is used for irrigation which provides about 40 percent of the world food production. Poor management has resulted in the salinization of about 20 percent of the world's irrigated land, with an additional 1.5 million ha affected annually.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times).

The Commission for Sustainable Development (CSD) has reported that many countries lack adequate legislation and policies for efficient and equitable allocation and use of water resources. Progress is, however, being made with the review of national legislation and enactment of new laws and regulations."
ER.H2O.INTR.PC,Environment: Freshwater,"UNESCO estimates that in developing countries in Asia, Africa and Latin America, public water withdrawal represents just 50-100 liters (13 to 26 gallons) per person per day. In regions with insufficient water resources, this figure may be as low as 20-60 (5 to 15 gallons) liters per day. People in developed countries on average consume about 10 times more water daily than those in developing countries.

While some countries have an abundant supply of fresh water, others do not have as much. UN estimates that many areas of the world are already experiencing stress on water availability. Due to the accelerated pace of population growth and an increase in the amount of water a single person uses, it is expected that this situation will continue to get worse. The ability of developing countries to make more water available for domestic, agricultural, industrial and environmental uses will depend on better management of water resources and more cross-sectorial planning and integration. According to World Water Council, by 2020, water use is expected to increase by 40 percent, and 17 percent more water will be required for food production to meet the needs of the growing population. The three major factors causing increasing water demand over the past century are population growth, industrial development and the expansion of irrigated agriculture.

Water productivity is an indication only of the efficiency by which each country uses its water resources. Given the different economic structure of each country, these indicators should be used carefully, taking into account a country's sectorial activities and natural resource endowments. According to Commission on Sustainable Development (CSD) agriculture accounts for more than 70 percent of freshwater drawn from lakes, rivers and underground sources. Most is used for irrigation which provides about 40 percent of the world food production. Poor management has resulted in the salinization of about 20 percent of the world's irrigated land, with an additional 1.5 million ha affected annually.

There is now ample evidence that increased hydrologic variability and change in climate has and will continue to have a profound impact on the water sector through the hydrologic cycle, water availability, water demand, and water allocation at the global, regional, basin, and local levels. Properly managed water resources are a critical component of growth, poverty reduction and equity. The livelihoods of the poorest are critically associated with access to water services. A shortage of water in the future would be detrimental to the human population as it would affect everything from sanitation, to overall health and the production of grain.

Freshwater use by continents is partly based on several socio-economic development factors, including population, physiography, and climatic characteristics. It is estimated that in the coming decades the most intensive growth of water withdrawal is expected to occur in Africa and South America (increasing by 1.5-1.6 times), while the smallest growth will take place in Europe and North America (1.2 times).

The Commission for Sustainable Development (CSD) has reported that many countries lack adequate legislation and policies for efficient and equitable allocation and use of water resources. Progress is, however, being made with the review of national legislation and enactment of new laws and regulations."
ER.LND.PTLD.ZS,Environment: Biodiversity & protected areas,"The International Union for Conservation of Nature (IUCN) defines a protected area as ""a clearly defined geographical space, recognized, dedicated and managed, through legal or other effective means, to achieve the long-term conservation of nature with associated ecosystem services and cultural values.""

Terrestrial protected areas are totally or partially protected areas of at least 1,000 hectares that are designated by national authorities as scientific reserves with limited public access, national parks, natural monuments, nature reserves or wildlife sanctuaries, protected landscapes, and areas managed mainly for sustainable use. Nationally protected terrestrial are terrestrial areas as a percentage of total territorial area, where all nationally designated protected areas with known location and extent are included.

As threats to biodiversity mount, the international community is increasingly focusing on conserving diversity. Deforestation is a major cause of loss of biodiversity, and habitat conservation is vital for stemming this loss. Conservation efforts have focused on protecting areas of high biodiversity. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity.
 
Protected areas remain the fundamental building blocks of virtually all national and international conservation strategies, supported by governments and international institutions. They provide the core of efforts to protect the world's threatened species and are increasingly recognized as essential providers of ecosystem services and biological resources. Some sites are owned and managed by governments, others by private individuals, companies, communities and faith groups.

The Sustainable Development Goals (SDGs) address concerns common to all economies. In recognition of the vulnerability of animal and plant species, SDGs include targets 14 and 15 to highlight the importance of marine and terrestorial protected areas. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity."
ER.MRN.PTMR.ZS,Environment: Biodiversity & protected areas,"The International Union for Conservation of Nature (IUCN) defines a protected area as ""a clearly defined geographical space, recognized, dedicated and managed, through legal or other effective means, to achieve the long-term conservation of nature with associated ecosystem services and cultural values.""

Marine protected areas are areas of intertidal or subtidal terrain - and overlying water and associated flora and fauna and historical and cultural features - that have been reserved by law or other effective means to protect part or the entire enclosed environment. Sites protected under local or provincial law are excluded.

As threats to biodiversity mount, the international community is increasingly focusing on conserving diversity. Deforestation is a major cause of loss of biodiversity, and habitat conservation is vital for stemming this loss. Conservation efforts have focused on protecting areas of high biodiversity. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity.
 
Protected areas remain the fundamental building blocks of virtually all national and international conservation strategies, supported by governments and international institutions. They provide the core of efforts to protect the world's threatened species and are increasingly recognized as essential providers of ecosystem services and biological resources. Some sites are owned and managed by governments, others by private individuals, companies, communities and faith groups.

The Sustainable Development Goals (SDGs) address concerns common to all economies. In recognition of the vulnerability of animal and plant species, SDGs include targets 14 and 15 to highlight the importance of marine and terrestorial protected areas. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity."
ER.PTD.TOTL.ZS,Environment: Biodiversity & protected areas,"The International Union for Conservation of Nature (IUCN) defines a protected area as ""a clearly defined geographical space, recognized, dedicated and managed, through legal or other effective means, to achieve the long-term conservation of nature with associated ecosystem services and cultural values.""

Terrestrial protected areas are totally or partially protected areas of at least 1,000 hectares that are designated by national authorities as scientific reserves with limited public access, national parks, natural monuments, nature reserves or wildlife sanctuaries, protected landscapes, and areas managed mainly for sustainable use.

Marine protected areas are areas of intertidal or subtidal terrain - and overlying water and associated flora and fauna and historical and cultural features - that have been reserved by law or other effective means to protect part or the entire enclosed environment. Sites protected under local or provincial law are excluded.

As threats to biodiversity mount, the international community is increasingly focusing on conserving diversity. Deforestation is a major cause of loss of biodiversity, and habitat conservation is vital for stemming this loss. Conservation efforts have focused on protecting areas of high biodiversity. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity.
 
Protected areas remain the fundamental building blocks of virtually all national and international conservation strategies, supported by governments and international institutions. They provide the core of efforts to protect the world's threatened species and are increasingly recognized as essential providers of ecosystem services and biological resources. Some sites are owned and managed by governments, others by private individuals, companies, communities and faith groups.

The Sustainable Development Goals (SDGs) address concerns common to all economies. In recognition of the vulnerability of animal and plant species, SDGs include targets 14 and 15 to highlight the importance of marine and terrestorial protected areas. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity."
FB.AST.NPER.ZS,Financial Sector: Assets,"The size and mobility of international capital flows make it increasingly important to monitor the strength of financial systems. Robust financial systems can increase economic activity and welfare, but instability can disrupt financial activity and impose widespread costs on the economy. The ratio of bank nonperforming loans to total gross loans measures bank health and efficiency by identifying problems with asset quality in the loan portfolio. A high ratio may signal deterioration of the credit portfolio."
FB.ATM.TOTL.P5,Financial Sector: Access,"Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index."
FB.BNK.CAPA.ZS,Financial Sector: Assets,"The size and mobility of international capital flows make it increasingly important to monitor the strength of financial systems. Robust financial systems can increase economic activity and welfare, but instability can disrupt financial activity and impose widespread costs on the economy. The ratio of bank capital to assets, a measure of bank solvency and resiliency, shows the extent to which banks can deal with unexpected losses. Capital includes tier 1 capital (paid-up shares and common stock), a common feature in all countries' banking systems, and total regulatory capital, which includes several types of subordinated debt instruments that need not be repaid if the funds are required to maintain minimum capital levels (tier 2 and tier 3 capital). Total assets include all nonfinancial and financial assets. Data are from internally consistent financial statements."
FB.CBK.BRCH.P5,Financial Sector: Access,"Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index."
FB.CBK.BRWR.P3,Financial Sector: Access,"Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index."
FB.CBK.DPTR.P3,Financial Sector: Access,"Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers’ credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers’ creditworthiness. Lenders look at a borrower’s credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index."
